Key	it-IT	en
VariabiliEFunzioni-translate_ingredient-858d4979	Skyrim	
VariabiliEFunzioni-translate_ingredient-a1d4a4f7	blocchi di erba	
VariabiliEFunzioni-translate_ingredient-911d6119	uova di pecora	
VariabiliEFunzioni-translate_ingredient-e30bb924	scolare	
VariabiliEFunzioni-translate_ingredient-5f2fcba0	lacrime	
VariabiliEFunzioni-translate_ingredient-e89ee8e0	cacao amaro	
VariabiliEFunzioni-translate_ingredient-06e9a2ef	specchiarsi	
VariabiliEFunzioni-translate_ingredient-aefa329f	scottare	
VariabiliEFunzioni-translate_ingredient-768edf40	i VERI videogiochi	
VariabiliEFunzioni-translate_ingredient-e240a853	canapé	
VariabiliEFunzioni-translate_ingredient-68478267	mungere	
VariabiliEFunzioni-translate_ingredient-20195430	cardare	
VariabiliEFunzioni-translate_ingredient-1e29f527	Chinotto di Savona	
VariabiliEFunzioni-translate_ingredient-00c1f101	raccontare	
VariabiliEFunzioni-translate_ingredient-3586ee33	selfie	
VariabiliEFunzioni-translate_ingredient-36f18ddd	interviste	
VariabiliEFunzioni-translate_ingredient-1a5908fb	avvelenare	
VariabiliEFunzioni-translate_ingredient-f9aab2f4	collare con un'etichetta col nome Dogron	
VariabiliEFunzioni-translate_ingredient-01264d30	tonno in scatola al naturale	
VariabiliEFunzioni-translate_ingredient-0186d2fc	cantare	
VariabiliEFunzioni-translate_ingredient-38f70d10	perdonare	
VariabiliEFunzioni-translate_ingredient-5b6b7198	evolversi	
VariabiliEFunzioni-translate_ingredient-92e27992	iomestessomemedesimo	
VariabiliEFunzioni-translate_ingredient-8dc701ec	hashtagselfcare	
VariabiliEFunzioni-translate_ingredient-2db349e9	sventrare	
VariabiliEFunzioni-translate_ingredient-8ca247af	emancipazione	
VariabiliEFunzioni-translate_ingredient-a86148bd	Michela Murgia	
VariabiliEFunzioni-translate_ingredient-9c7f28cc	sacrificio	
VariabiliEFunzioni-translate_ingredient-05001fcf	mr.Peanutbutter	
VariabiliEFunzioni-translate_ingredient-20f4da83	la pallina preferita di DOGRON	
VariabiliEFunzioni-translate_ingredient-93478183	Kate Bush	
VariabiliEFunzioni-translate_ingredient-ceec5c9f	l'idea del successo	
VariabiliEFunzioni-translate_ingredient-440d1922	una cassa portatile	
VariabiliEFunzioni-translate_ingredient-4b257db6	padre	
VariabiliEFunzioni-translate_ingredient-25c4b9f4	funghicida	
VariabiliEFunzioni-translate_ingredient-676c85de	mappa	
VariabiliEFunzioni-translate_ingredient-483c605c	Io sono ancora grande, è la ristorazione che è diventata piccola.	
VariabiliEFunzioni-translate_ingredient-71cdb323	aiuto	
VariabiliEFunzioni-translate_ingredient-e5e83722	AIUTOOOOOOOOOOOOOOOOOOOO	
VariabiliEFunzioni-translate_ingredient-33a7db2d	colla di pesce	
VariabiliEFunzioni-translate_ingredient-8ee7f7f8	filtrare	
VariabiliEFunzioni-translate_ingredient-a8bde672	Mazinga	
VariabiliEFunzioni-translate_ingredient-e4f3b784	orecchie di Ugo	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-value_ingredient-2031647a	4	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-395428ab	1	
VariabiliEFunzioni-value_ingredient-359010b0	2	
VariabiliEFunzioni-value_ingredient-106e83bb	3	
VariabiliEFunzioni-remove_random_ability-aff55c63	Rimossa {ability}.	
VariabiliEFunzioni-inizio_lounge-ccab6fe6	DOGRON: Ed ora, nostra persona concorrente preferita insieme a tutte le altre, ti ricordo che:	
VariabiliEFunzioni-inizio_lounge-e65ad9a9	DOGRON: Ogni giorno perderai una delle tue abilità. Quelle che perdi oggi sono:	
VariabiliEFunzioni-inizio_lounge-c72b0e25	DOGRON: Non potrai più vedere in modo chiaro gli ingredienti.	
VariabiliEFunzioni-inizio_lounge-7a17a943	DOGRON: Le scelte ora scorreranno più veloci.	
VariabiliEFunzioni-inizio_lounge-da9087e2	DOGRON: Non avrai più un ingrediente a scelta da selezionare a inizio partita.	
VariabiliEFunzioni-inizio_lounge-d910ab8c	DOGRON: Basta con le chiacchiere extra!	
VariabiliEFunzioni-inizio_lounge-fb9aa3b3	DOGRON: Se sbagli la ricetta, non avrai più piani di salvataggio.	
VariabiliEFunzioni-inizio_lounge-7cbf91aa	DOGRON: Non potrai più eliminare un'altra persona concorrente.	
VariabiliEFunzioni-inizio_lounge-6ea39899	DOGRON: Niente potere di richiamare una persona che se ne è andata.	
VariabiliEFunzioni-inizio_lounge-81fb3475	DOGRON: Ti ricordo cara persona che potrai parlare con una persona in più.	
VariabiliEFunzioni-inizio_lounge-962f93f0	DOGRON: Hai la possibilità di eliminare una di queste belle persone, di chi ti vuoi liberare?	
VariabiliEFunzioni-inizio_lounge-04bf68e7	YOU:BeBe.	
VariabiliEFunzioni-inizio_lounge-cc062246	DOGRON: Bebe, per te Miss Italia finisce qui!	
VariabiliEFunzioni-inizio_lounge-f1e28a5e	YOU:Piiiietro.	
VariabiliEFunzioni-inizio_lounge-3769148d	DOGRON: Piiiietro, il mio numero preferito: sei stato eliminato!	
VariabiliEFunzioni-inizio_lounge-763e2399	YOU:Ugo e Mimi.	
VariabiliEFunzioni-inizio_lounge-53406eaf	DOGRON: Mimi, sashay away.	
VariabiliEFunzioni-inizio_lounge-dcf1b540	YOU:Quello.	
VariabiliEFunzioni-inizio_lounge-6b324218	DOGRON: Oh. Oh. Amico mio, spero perdonerai questa persona concorrente, ma dovrai andartene. Ci rivedremo nel prato infinito!	
VariabiliEFunzioni-inizio_lounge-7f6d5497	YOU:Il divo.	
VariabiliEFunzioni-inizio_lounge-bc73c9d9	DOGRON: spiace, circa. Addio Divo!	
VariabiliEFunzioni-inizio_lounge-94aa67f6	YOU: Nessuna persona!	
VariabiliEFunzioni-inizio_lounge-68392198	DOGRON: Mi piace questo modo di ragionare!	
VariabiliEFunzioni-inizio_lounge-32588bf1	DOGRON: Vuoi riportare una persona concorrente tra noi?	
VariabiliEFunzioni-inizio_lounge-4c92b155	YOU:BeBe!	
VariabiliEFunzioni-inizio_lounge-f9cdffce	DOGRON:Bentornata BeBe!	
VariabiliEFunzioni-inizio_lounge-4f6c9101	YOU:Piiiietro!	
VariabiliEFunzioni-inizio_lounge-7ef8aaf1	DOGRON: Ed ecco a voi di nuovo: Piiiietro!	
VariabiliEFunzioni-inizio_lounge-6d97329f	YOU: Ugo e Mimi!	
VariabiliEFunzioni-inizio_lounge-f8b6fe01	DOGRON: Mimììì! Che bello averti qui con noi di nuovo!	
VariabiliEFunzioni-inizio_lounge-02f8627a	YOU: Quello.	
VariabiliEFunzioni-inizio_lounge-6835ea54	DOGRON: Ma ciao amico mio, finalmente!	
VariabiliEFunzioni-inizio_lounge-a9079a4c	YOU: Il Divo.	
VariabiliEFunzioni-inizio_lounge-9766501d	DOGRON: Toh, è tornato!	
VariabiliEFunzioni-inizio_lounge-faefd3ca	YOU: MMM, sto bene così, grazie.	
VariabiliEFunzioni-inizio_lounge-17eab8fd	DOGRON: Ah, uuuuh, mi sembra crudele ma il gioco è questo, no?	
VariabiliEFunzioni-EliminazioneConcorrente-81604c5d	DOGRON: Complimenti, hai vinto a scapito di:	
VariabiliEFunzioni-moveToLounge-c5d09607	[[[move to lounge]]]	
VariabiliEFunzioni-moveToKitchen-f26201b6	[[[move to kitchen]]]	
VariabiliEFunzioni-loungeDialogue-e899119d	[[[talk with {char}]]]	
PrimaGiornata-passaggio_lounge_giorno_uno-9d074c9e	DOGRON: Buuuuuuuuongiorno persone concorrenti, e benvenute a questa prima puntata di THE GOOD DOG SHOW! Oggi vi metteremo alla prova chiedendovi di...	
PrimaGiornata-passaggio_lounge_giorno_uno-3b5508c5	DOGRON: Cucinare qualcosa che mangereste tuuuuuuutti i giorni!	
PrimaGiornata-passaggio_lounge_giorno_uno-1644819a	DOGRON: Avete a disposizione qualche minuto per chiacchierare tra voi, prima di buuuuttarvi in cucina. Tradotto nelle regole del programma: un massimo di {num_loop_rimanenti+1} persone!	
PrimaGiornata-passaggio_lounge_giorno_uno-9a0a5440	DOGRON: Starà a voi decidere se condividere i vostri segreti, ingannare le altre persone, o farvi dare dei grattini! E massima attenzione, perché in THE GOOD DOG tuuuutto cambia in un battito di ciglia!	
PrimaGiornata-passaggio_lounge_giorno_uno-10ac80e5	$	
PrimaGiornata-passaggio_lounge_giorno_uno-deee1def	@BeBe	
PrimaGiornata-passaggio_lounge_giorno_uno-10338ff7	@UgoEMimi	
PrimaGiornata-passaggio_lounge_giorno_uno-f2ef8485	@Piiiietro	
PrimaGiornata-passaggio_lounge_giorno_uno-ba80acbb	@Quello	
PrimaGiornata-passaggio_lounge_giorno_uno-97c665a7	@ilDivo	
PrimaGiornata-passaggio_lounge_giorno_uno-fbb53347	UgoEMimi: Ugo, non credo sia il caso.	
PrimaGiornata-passaggio_lounge_giorno_uno-85a3c447	UgoEMimi: Mimi, decido IO quando è il caso. E si dia il caso che qui sono pieni di soldi e io ho bisogno di un publisher!	
PrimaGiornata-passaggio_lounge_giorno_uno-0c3a485b	UgoEMimi: Ugo, una persona ci sta guardando.	
PrimaGiornata-passaggio_lounge_giorno_uno-482a7d7f	YOU: Ehm, salve!	
PrimaGiornata-passaggio_lounge_giorno_uno-ebf72c08	UgoEMimi: Salve, io sono Ugo, e lei è mia moglie Mimi. Mia.	
PrimaGiornata-passaggio_lounge_giorno_uno-6621dbc9	YOU: Anche voi siete qui contro la vostra volontà?	
PrimaGiornata-passaggio_lounge_giorno_uno-2e3de7f6	UgoEMimi: Beh, mio marito...	
PrimaGiornata-passaggio_lounge_giorno_uno-9f37ead9	UgoEMimi: Mimi è timida ma sì, siamo qui perché lo vogliamo.	
PrimaGiornata-passaggio_lounge_giorno_uno-2f50469e	YOU: Bel taglio di capelli, signora!	
PrimaGiornata-passaggio_lounge_giorno_uno-7448cbec	UgoEMimi: Merito mio, ho scelto io la sua parrucchiera, da bravo marito!	
PrimaGiornata-passaggio_lounge_giorno_uno-3de0d279	UgoEMimi: E tu, cosa ci fai qui?	
PrimaGiornata-passaggio_lounge_giorno_uno-a8d443a5	UgoEMimi: Ugo, non essere scortese, siamo tutte tese da questa novità!	
PrimaGiornata-passaggio_lounge_giorno_uno-7875eaea	YOU: Me lo chiedo anche io.	
PrimaGiornata-passaggio_lounge_giorno_uno-6118c2d6	YOU: Credo sia una punizione da parte del Culto.	
PrimaGiornata-passaggio_lounge_giorno_uno-45e918c6	YOU: Ricordo solo la mia stanza, del cloroformio...	
PrimaGiornata-passaggio_lounge_giorno_uno-22af23a6	UgoEMimi: Hai bisogno di una mano per cucinare, tesoro?	
PrimaGiornata-passaggio_lounge_giorno_uno-4354dbfa	UgoEMimi: Mimi! Che aiuti la concorrenza? Mi servono i soldi per il publisher!	
PrimaGiornata-passaggio_lounge_giorno_uno-0ef65c23	UgoEMimi: Ugo, ma non è che voglio dire a questa persona che per un aspic perfetto il segreto è la migliore <b>colla di pesce</b> e <b>filtrarla</b> con delicatezza.	
PrimaGiornata-passaggio_lounge_giorno_uno-effedee8	YOU: La ringrazio signora, ma gli anni'80 sono finiti da quel dì!	
PrimaGiornata-passaggio_lounge_giorno_uno-f7b48275	YOU: Non mangio un aspic dal giorno in cui hanno sacrificato nonna a Adramelech per la mia iniziazione, quanti ricordi!	
PrimaGiornata-passaggio_lounge_giorno_uno-4024d016	YOU: Signora, se ha bisogno di aiuto batta le ciglia due volte.	
PrimaGiornata-passaggio_lounge_giorno_uno-cf520d45	YOU: Con questa luce non si capisce un cazzo. Riprovi!	
PrimaGiornata-passaggio_lounge_giorno_uno-9fe67479	UgoEMimi: Mimi, andiamocene! Credo di aver visto una tizia con un iPod, forse è un audio designer!	
PrimaGiornata-passaggio_lounge_giorno_uno-d6cdf648	BeBe: Eppure ero sicura di averli messi qui, acciderbolina!	
PrimaGiornata-passaggio_lounge_giorno_uno-263e899e	YOU: Hai perso qualcosa?	
PrimaGiornata-passaggio_lounge_giorno_uno-b0dba1bd	BeBe: I miei occhiali da sole! Non mi piace andare in giro senza.	
PrimaGiornata-passaggio_lounge_giorno_uno-a0ee28a5	YOU: Li hai addosso, sai?	
PrimaGiornata-passaggio_lounge_giorno_uno-cb008601	BeBe: Uh, che distratta che sono! Sai, avere otto, ehm, sette figlie rende tutto difficile.	
PrimaGiornata-passaggio_lounge_giorno_uno-d0eb15fd	YOU: Ma non c'è il sole qui. Forse manco su tutto il pianeta.	
PrimaGiornata-passaggio_lounge_giorno_uno-d0d576f7	BeBe: Però c'è dell'erba, ne sento l'odore!	
PrimaGiornata-passaggio_lounge_giorno_uno-e4048c5d	YOU: Mmm sì sì certo.	
PrimaGiornata-passaggio_lounge_giorno_uno-02b895de	BeBe: Stai citando quel nuovo gruppo K-Pop, le Blink of an eye?	
PrimaGiornata-passaggio_lounge_giorno_uno-ae1e9df7	BeBe: Ma come ti stai trovando qui, dolcezza? Hai tutto quello di cui hai bisogno?	
PrimaGiornata-passaggio_lounge_giorno_uno-5e9022d4	YOU: Non so dove sono, vorrei solo scappare.	
PrimaGiornata-passaggio_lounge_giorno_uno-fb8d1fa0	BeBe: Se vinco, ti prometto che ti porterò con me, ho ancora una cameretta libera!	
PrimaGiornata-passaggio_lounge_giorno_uno-c6adc449	YOU: L'ultima volta che ho cucinato, la mia casa è esplosa.	
PrimaGiornata-passaggio_lounge_giorno_uno-bac1485b	BeBe: Succede a tutte le persone, prima o poi.	
PrimaGiornata-passaggio_lounge_giorno_uno-35dc7b95	YOU: Non dovrei essere qui. Il Culto mi sta cercando.	
PrimaGiornata-passaggio_lounge_giorno_uno-3d44ecf2	BeBe: Culto?	
PrimaGiornata-passaggio_lounge_giorno_uno-eef2e7de	YOU: Piuttosto, cosa hai deciso di cucinare per la prima puntata?	
PrimaGiornata-passaggio_lounge_giorno_uno-4097a612	BeBe: Uh sai, pur essendo una pecora in carriera, essere una madre single di otto, uffa, sette agnelline ti obbliga a fare i conti coi soldi.	
PrimaGiornata-passaggio_lounge_giorno_uno-56306391	BeBe: Per cui penso preparerò della zuppa di pane e <b>cipolla</b> da <b>affettare</b>.	
PrimaGiornata-passaggio_lounge_giorno_uno-f1b089c0	BeBe: La cipolla rende tutto buonissimo, e non costa niente.	
PrimaGiornata-passaggio_lounge_giorno_uno-bc591d3f	YOU: Uh, ora capisco l'alito.	
PrimaGiornata-passaggio_lounge_giorno_uno-c5204149	YOU: Io son più persona da snack, sai?	
PrimaGiornata-passaggio_lounge_giorno_uno-45baff71	YOU: Grazie del consiglio.	
PrimaGiornata-passaggio_lounge_giorno_uno-e955755f	BeBe: Comunque non mi sono presentata! Sono Bebe. Ora vado a prepararmi per la fase di cucina, spero di ritrovarti presto!	
PrimaGiornata-passaggio_lounge_giorno_uno-455bc5bf	YOU: Buona fortuna.	
PrimaGiornata-passaggio_lounge_giorno_uno-746ea346	YOU: Ti batterò.	
PrimaGiornata-passaggio_lounge_giorno_uno-a24cd97d	YOU: Come si esce da qui?!?!?	
PrimaGiornata-passaggio_lounge_giorno_uno-7a952677	Piiiietro: Bruiser Woods! Dove sei finito? Cristo, ti sei portato via anche il mio rosario di Gucci!	
PrimaGiornata-passaggio_lounge_giorno_uno-e1d17358	Piiiietro: L'avevo detto a Snooki, oh se gliel'avevo detto, che era una pessima idea, ma lei no, no! Bruiser!	
PrimaGiornata-passaggio_lounge_giorno_uno-524084e3	YOU: Bruiser Woods?	
PrimaGiornata-passaggio_lounge_giorno_uno-3012e76c	Piiiietro: Sì, come quel Bruiser, e non lo trovo!	
PrimaGiornata-passaggio_lounge_giorno_uno-e9760f3f	YOU: Rosario di Gucci?	
PrimaGiornata-passaggio_lounge_giorno_uno-6c512be5	Piiiietro: Sì, un regalo di mia nonna Scianel per festeggiare il mio sedicesimo.	
PrimaGiornata-passaggio_lounge_giorno_uno-9964bf8f	YOU: Snookie?	
PrimaGiornata-passaggio_lounge_giorno_uno-d452485d	Piiiietro: Scusa, ho firmato un NDA, non posso dire altro.	
PrimaGiornata-passaggio_lounge_giorno_uno-2d31ac32	Piiiietro: Tornerà, spero. Questo pianeta sembra minuscolo comunque, non ci saranno altre cagnoline.	
PrimaGiornata-passaggio_lounge_giorno_uno-052c0cc1	Piiiietro: Comunque piacere, sono Piiiietro, studentessa di matematica. A quattordici anni ho risolto il gioco di Collatz.	
PrimaGiornata-passaggio_lounge_giorno_uno-0212dabe	Piiiietro: A quindici le equazioni di Navier-Stokes ma non ho ancora ricevuto la medaglia Fields perché dopo quella storia di Perel'man hanno paura di fare casini.	
PrimaGiornata-passaggio_lounge_giorno_uno-d6986ba8	Piiiietro: Ma tu non stai capendo una ceppa, vero?	
PrimaGiornata-passaggio_lounge_giorno_uno-946eff63	YOU: In realtà Perel'man alle medie mi copiava.	
PrimaGiornata-passaggio_lounge_giorno_uno-4ac184b2	YOU: Sto ancora pensando al rosario di Gucci.	
PrimaGiornata-passaggio_lounge_giorno_uno-5a906315	YOU: No, ma settimana scorsa ho azzeccato al primo colpo il resto al supermercato.	
PrimaGiornata-passaggio_lounge_giorno_uno-869ef3ee	Piiiietro: Che se non trovo il rosario mia nonna mi uccide, sai?	
PrimaGiornata-passaggio_lounge_giorno_uno-dc709ce5	Piiiietro: La famiglia tutta. Sono tutti così religiosi, pensa che hanno un santino di Paolo Brosio sul caminetto che sbatte gli occhi.	
PrimaGiornata-passaggio_lounge_giorno_uno-a157114f	Piiiietro: Mi hanno obbligata a studiare matematica per confermare l'esistenza di Dio.	
PrimaGiornata-passaggio_lounge_giorno_uno-ba12103d	YOU: E sei anche un'ottima cuoca, quindi?	
PrimaGiornata-passaggio_lounge_giorno_uno-72807e4f	Piiiietro: Cuoca? In che senso, cuoca?	
PrimaGiornata-passaggio_lounge_giorno_uno-4735ed87	YOU: Beh, questo è un programma di cucina, credo ci abbiano rapite etc etc.	
PrimaGiornata-passaggio_lounge_giorno_uno-1e68309d	Piiiietro: Non siamo ad Amici?!?	
PrimaGiornata-passaggio_lounge_giorno_uno-eb1ac238	YOU: Dovremmo ballare su quell'enorme cucina a gas?	
PrimaGiornata-passaggio_lounge_giorno_uno-52a86a92	YOU: Cuccarini ha detto cose che manco un cane, ma non credo.	
PrimaGiornata-passaggio_lounge_giorno_uno-076025bf	YOU: No grazie, preferisco il rapimento.	
PrimaGiornata-passaggio_lounge_giorno_uno-77ad6609	Piiiietro: Ma io so giusto cucinare un piatto di pasta col <b>tonno in scatola</b> e <b>mescolare</b>, cazzo ci faccio qui?	
PrimaGiornata-passaggio_lounge_giorno_uno-3c02394e	Piiiietro: Bruiser, Bruiser dove sei? Dobbiamo andarcene da qui! A dopo, o a mai più!	
PrimaGiornata-passaggio_lounge_giorno_uno-73d4a593	Quello: Ma buongiorno splendore lunare! Non trovi che questo posto sia magnifico?	
PrimaGiornata-passaggio_lounge_giorno_uno-29bccc1b	YOU: Ma tu sai come sei arrivato qui?	
PrimaGiornata-passaggio_lounge_giorno_uno-0dc7ab58	YOU: Credo di aver visto un cadavere prima dietro alla telecamera. E mi ha fatto l'occhiolino.	
PrimaGiornata-passaggio_lounge_giorno_uno-52195fc3	YOU: Sempre meglio della Chiesa del Culto, credo.	
PrimaGiornata-passaggio_lounge_giorno_uno-c3dffbc6	Quello: Sento un po' la pressione, sai? Tutta questa gente professionista, e io che sono solo un piccolo pasticcere, come mi ricorda sempre il Divo. Molto molto piccolo. Infimo quasi.	
PrimaGiornata-passaggio_lounge_giorno_uno-e1facb15	YOU: Il Divo?	
PrimaGiornata-passaggio_lounge_giorno_uno-ae66fb35	Quello: Sì, il mio capo, un uomo severo ma affettuoso a modo suo. Mi ha obbligato a venire qui, così se vinco i soldi vanno al suo ristorante.	
PrimaGiornata-passaggio_lounge_giorno_uno-3623ce52	YOU: Ti lasci dire queste cose?	
PrimaGiornata-passaggio_lounge_giorno_uno-2bbd2f7f	Quello: Ogni apprendista merita la lezione dell'umiltà, non trovi?	
PrimaGiornata-passaggio_lounge_giorno_uno-94feb722	YOU: La cosa più complessa che ho cucinato è una caprese, e ci ho perso un dito.	
